epoch,flightNo,id,cosparLaunchNo,failure
1963-12-18T21:50:24+00:00,227D/4802,2184,1963-051,False
1963-12-19T09:36:00+00:00,G 15001- 03,4423,1963-052,False
1963-12-19T18:43:12+00:00,S122R,2185,1963-053,False
1963-12-21T09:36:00+00:00,371/D022,4424,1963-054,False
1963-12-21T21:50:24+00:00,398/1168,11,1963-055,False
1964-01-11T20:09:36+00:00,390/2354,4425,1964-001,False
1964-01-19T11:02:24+00:00,384/2303,4426,1964-002,False
1964-01-21T21:21:36+00:00,373/D023,4226,1964-003,False
1964-01-25T13:55:12+00:00,397/6301 (TA2),4427,1964-004,False
1964-01-29T16:19:12+00:00,SA-5,12,1964-005,False
1964-01-30T09:50:24+00:00,G103-18,4227,1964-006,False
1964-01-30T15:50:24+00:00,199D/6008 (AA8),2105,1964-007,False
1964-02-15T21:36:00+00:00,389/1174,2135,1964-008,False
1964-02-19T05:45:36+00:00,T 15000- 19,5508,1964-F01,True
1964-02-25T18:57:36+00:00,285D/4803,13,1964-009,False
1964-02-27T13:26:24+00:00,None,4428,1964-010,False
1964-02-28T03:21:36+00:00,402/2316,14,1964-011,False
1964-03-11T20:09:36+00:00,296D/4804,4429,1964-012,False
1964-03-18T15:07:12+00:00,None,15,1964-013,False
1964-03-19T11:16:48+00:00,391/D024,5509,1964-F02,True
1964-03-21T08:09:36+00:00,T 15000- 20,5510,1964-F03,True
1964-03-24T22:19:12+00:00,396/1175,5511,1964-F04,True
1964-03-27T03:21:36+00:00,T 15000- 22,4430,1964-014,False
1964-03-27T17:31:12+00:00,S127R,4431,1964-015,False
1964-04-02T02:38:24+00:00,G 15000- 28/23,4228,1964-016,False
1964-04-04T09:50:24+00:00,G 15001- 04,16,1964-017,False
1964-04-08T16:04:48+00:00,GLV-1,2088,1964-018,False
1964-04-12T09:36:00+00:00,T 15001- 01A,4432,1964-019,False
1964-04-20T08:09:36+00:00,T 15000- 21,5512,1964-F05,True
1964-04-21T18:50:00+00:00,None,5513,1964-F06,True
1964-04-23T18:43:12+00:00,351D/4805,17,1964-020,False
1964-04-25T10:19:12+00:00,R 15001- 01,4433,1964-021,False
1964-04-27T23:16:48+00:00,395/1604,4434,1964-022,False
1964-05-18T09:36:00+00:00,G 15000- 12,4435,1964-023,False
1964-05-19T19:26:24+00:00,350D/4806,18,1964-024,False
1964-05-28T17:02:24+00:00,SA-6,2199,1964-025,False
1964-06-04T03:50:24+00:00,S125R,4436,1964-026,False
1964-06-04T04:04:48+00:00,G 15000- 18/R10334,5250,1964-F07,True
1964-06-04T23:02:24+00:00,403/1176,2200,1964-027,False
1964-06-06T06:00:00+00:00,None,4437,1964-028,False
1964-06-10T11:02:24+00:00,R 15001- 02,2089,1964-029,False
1964-06-13T15:50:24+00:00,408/1606,2201,1964-030,False
1964-06-18T05:02:24+00:00,407/2304,2160,1964-031,False
1964-06-19T23:16:48+00:00,410/1609,4438,1964-032,False
1964-06-23T10:04:48+00:00,G 15001- 05,2202,1964-033,False
1964-06-25T01:40:48+00:00,S128R,5514,1964-F08,True
1964-06-30T14:09:36+00:00,AC-3,5515,1964-F09,True
1964-07-01T11:02:24+00:00,T 15000- 04,4439,1964-034,False
1964-07-03T00:00:00+00:00,409/2315,4440,1964-035,False
1964-07-06T18:57:36+00:00,352D/4807,2203,1964-036,False
1964-07-10T21:50:24+00:00,G103-19,4441,1964-038,False
1964-07-10T23:16:48+00:00,404/1177,2161,1964-037,False
1964-07-15T11:31:12+00:00,R 15001- 03,4442,1964-039,False
1964-07-17T08:24:00+00:00,216D/1802,2204,1964-040,False
1964-07-28T16:48:00+00:00,250D/6009 (AA9),4443,1964-041,False
1964-07-30T03:36:00+00:00,None,4444,1964-042,False
1964-08-05T23:16:48+00:00,413/1605,2104,1964-043,False
1964-08-14T09:36:00+00:00,R 15001- 04,2205,1964-044,False
1964-08-14T22:04:48+00:00,7101/4808,4445,1964-045,False
1964-08-18T09:21:36+00:00,4000-000-02L,2099,1964-046,False
1964-08-19T12:14:24+00:00,417/D025,4221,1964-047,False
1964-08-21T15:50:24+00:00,412/1603,4446,1964-048,False
1964-08-22T07:26:24+00:00,G 15000- 19/R10336,2192,1964-049,False
1964-08-22T11:02:24+00:00,None,4447,1964-050,False
1964-08-25T13:40:48+00:00,S134R,4448,1964-051,False
1964-08-28T07:55:12+00:00,399/6201 (TA3),4449,1964-052,False
1964-08-28T16:04:48+00:00,T 15000- 05,2193,1964-053,False
1964-09-01T15:07:12+00:00,3A-2,5516,1964-F10,True
1964-09-05T01:26:24+00:00,195D/6501 (AA10),4450,1964-054,False
1964-09-13T09:50:24+00:00,R 15001- 01,2100,1964-055,False
1964-09-14T22:48:00+00:00,405/1178,2194,1964-056,False
1964-09-18T16:19:12+00:00,SA-7,4222,1964-057,False
1964-09-23T20:09:36+00:00,7102/4809,4451,1964-058,False
1964-09-24T12:00:00+00:00,R 15001- 05,4452,1964-059,False
1964-10-04T03:50:24+00:00,392/D026,2186,1964-060,False
1964-10-05T21:50:24+00:00,421/1170,4453,1964-061,False
1964-10-06T06:57:36+00:00,R 15000- 02,2050,1964-062,False
1964-10-06T17:02:24+00:00,423/AB016,4454,1964-063,False
1964-10-07T19:26:24+00:00,7103/4810,5580,1964-F11,True
1964-10-10T03:07:12+00:00,S123R,2187,1964-064,False
1964-10-12T07:26:24+00:00,R 15000- 04,2188,1964-065,False
1964-10-14T10:04:48+00:00,R 15002- 01,4455,1964-066,False
1964-10-17T22:04:48+00:00,418/1179,2189,1964-067,False
1964-10-23T07:26:24+00:00,4000-000-01L,5251,1964-F12,True
1964-10-23T18:28:48+00:00,353D/4811,4456,1964-068,False
1964-10-24T05:16:48+00:00,None,2097,1964-069,False
1964-10-28T10:33:36+00:00,R 15002- 02,4457,1964-070,False
1964-11-02T21:36:00+00:00,420/1173,2190,1964-071,False
1964-11-04T02:09:36+00:00,430/2317,2163,1964-072,False
1964-11-05T19:26:24+00:00,289D/6931 (AA11),407,1964-073,False
1964-11-06T12:00:00+00:00,S133R,4458,1964-074,False
1964-11-18T20:38:24+00:00,416/1180,2098,1964-075,False
1964-11-21T17:16:48+00:00,S135R,4459,1964-076,False
1964-11-28T14:24:00+00:00,288D/6932 (AA12),4460,1964-077,False
1964-11-30T13:26:24+00:00,G 15000- 29,2191,1964-078,False
1964-12-01T08:38:24+00:00,None,5517,1964-F13,True
1964-12-04T18:57:36+00:00,7105/4813,4461,1964-079,False
1964-12-09T23:02:24+00:00,None,4223,1964-080,False
1964-12-10T16:48:00+00:00,3A-1,2147,1964-081,False
1964-12-11T14:24:00+00:00,AC-4,2091,1964-082,False
1964-12-13T00:14:24+00:00,427/AB017,4462,1964-083,False
1964-12-15T20:24:00+00:00,S137R,2212,1964-084,False
1964-12-19T21:07:12+00:00,424/1607,4463,1964-085,False
1964-12-21T09:07:12+00:00,393/D027,4464,1964-086,False
1964-12-21T19:12:00+00:00,425/2355,2213,1964-087,False
1965-01-11T09:36:00+00:00,R 15002- 03,4465,1965-001,False
1965-01-15T21:07:12+00:00,414/1608,2214,1965-002,False
1965-01-19T05:02:24+00:00,224,2092,1965-003,False
1965-01-21T21:36:00+00:00,172D,5518,1965-F01,True
1965-01-22T07:55:12+00:00,374/D028,4466,1965-004,False
1965-01-23T20:09:36+00:00,7106/4812,2215,1965-005,False
1965-01-30T09:36:00+00:00,None,455,1965-006,False
1965-02-03T16:33:36+00:00,411/D029,4224,1965-007,False
1965-02-11T15:21:36+00:00,3A-3,4467,1965-008,False
1965-02-12T12:00:00+00:00,None,5519,1965-F02,True
1965-02-16T14:38:24+00:00,SA-9,4468,1965-009,False
1965-02-17T17:02:24+00:00,196D/6006 (AA13),464,1965-010,False
1965-02-20T06:28:48+00:00,None,5520,1965-F03,True
1965-02-21T11:02:24+00:00,4000-000-03L,2216,1965-011,False
1965-02-22T07:26:24+00:00,R 15000- 03,2093,1965-012,False
1965-02-25T21:50:24+00:00,432/1611,2217,1965-013,False
1965-02-26T05:02:24+00:00,R 15000- 09,4469,1965-014,False
1965-03-02T13:26:24+00:00,AC-5,5521,1965-F04,True
1965-03-07T08:52:48+00:00,R 15001- 05,4470,1965-015,False
1965-03-09T18:28:48+00:00,419/2701,174,1965-016,False
1965-03-11T13:40:48+00:00,440/AB018,4471,1965-017,False
1965-03-12T09:21:36+00:00,G 15000- 24/R10325,175,1965-018,False
1965-03-12T19:26:24+00:00,7104/4816,2198,1965-019,False
1965-03-15T11:02:24+00:00,4000-000-04L,176,1965-020,False
1965-03-18T04:48:00+00:00,306,177,1965-021,False
1965-03-18T06:57:36+00:00,R 15000- 05,178,1965-022,False
1965-03-21T21:36:00+00:00,204D/6007 (AA14),2166,1965-023,False
1965-03-23T14:24:00+00:00,GLV-3,179,1965-024,False
1965-03-25T10:04:48+00:00,G 15001- 06,2114,1965-025,False
1965-03-25T21:07:12+00:00,429/1612,4472,1965-026,False
1965-04-03T21:21:36+00:00,7401/7001,180,1965-027,False
1965-04-06T23:45:36+00:00,426/D030,382,1965-028,False
1965-04-10T08:38:24+00:00,U 15000- 22/R10326,5522,1965-F05,True
1965-04-17T09:50:24+00:00,G 15000- 11,383,1965-029,False
1965-04-23T01:55:12+00:00,U 15000 -35/U10335,4270,1965-030,False
