OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051PM,2025-04-02T11:54:32.313312,14.43796013,.0013476,86.3934,171.0871,262.6483,97.3187,0,U,35297,999,66756,.11616E-2,.3975E-4,0
IRIDIUM 33 DEB,1997-051PP,2025-03-31T21:59:23.820288,14.38817900,.0055786,86.2925,144.3512,221.6308,312.0456,0,U,35299,999,82764,.20552E-2,.6453E-4,0
IRIDIUM 33 DEB,1997-051QA,2025-04-01T20:10:30.704160,14.48293115,.0011842,86.3575,135.2893,226.8762,133.1452,0,U,35480,999,83641,.87706E-3,.3298E-4,0
IRIDIUM 33 DEB,1997-051QE,2025-03-30T19:13:44.499936,14.83718541,.0022805,86.3605,111.3280,336.9010,23.1186,0,U,35484,999,84133,.33616E-2,.28019E-3,0
IRIDIUM 33 DEB,1997-051QJ,2025-04-02T07:52:19.981920,14.77186624,.0027606,86.3275,57.5107,206.0248,153.9585,0,U,35488,999,84503,.24733E-2,.17664E-3,0
IRIDIUM 33 DEB,1997-051QN,2025-04-01T07:47:22.805664,14.74459799,.0012056,86.3520,101.5898,16.2744,343.8859,0,U,35616,999,83802,.26287E-2,.17527E-3,0
IRIDIUM 33 DEB,1997-051QQ,2025-03-30T18:50:12.301440,14.50994369,.0030504,86.3339,105.7410,154.2031,206.0704,0,U,35618,999,83485,.74949E-3,.3001E-4,0
IRIDIUM 33 DEB,1997-051QS,2025-04-01T22:16:47.019936,14.30372168,.0159886,86.3880,324.1253,4.9240,355.3479,0,U,35620,999,80802,.31082E-2,.9305E-4,0
IRIDIUM 33 DEB,1997-051QU,2025-04-02T06:41:08.611296,14.82229212,.0018697,86.2127,25.9372,105.0681,46.5932,0,U,35622,999,83570,.32359E-2,.25978E-3,0
IRIDIUM 33 DEB,1997-051RA,2025-04-02T09:14:18.412512,14.63097514,.0016337,86.3553,122.0863,116.1681,244.1214,0,U,35628,999,82722,.21164E-2,.10918E-3,0
IRIDIUM 33 DEB,1997-051RD,2025-04-02T09:09:30.532032,14.46586417,.0014824,86.3653,130.4549,244.6384,126.8650,0,U,35631,999,83519,.66124E-3,.2405E-4,0
IRIDIUM 33 DEB,1997-051RE,2025-04-02T09:11:06.268416,15.23657709,.0039128,86.3711,239.9836,259.8404,99.8426,0,U,35632,999,82177,.988E-2,.249337E-2,0
IRIDIUM 33 DEB,1997-051RJ,2025-04-02T09:00:24.469344,14.17727432,.0161476,86.0984,133.7580,9.9069,1.4711,0,U,35680,999,57094,.34236E-2,.795E-4,0
IRIDIUM 33 DEB,1997-051RX,2025-04-01T04:53:54.764448,14.66911695,.0023969,86.3259,80.4587,8.5970,351.5649,0,U,35744,999,83580,.22295E-2,.12551E-3,0
IRIDIUM 33 DEB,1997-051SF,2025-04-02T05:18:49.079232,14.75279178,.0013642,86.3351,86.1146,351.3560,8.7421,0,U,35797,999,83748,.34574E-2,.23515E-3,0
IRIDIUM 33 DEB,1997-051SQ,2025-03-31T09:15:51.609600,14.54144393,.0013709,86.3443,133.2112,202.0994,157.9624,0,U,35806,999,82595,.15247E-2,.6474E-4,0
IRIDIUM 33 DEB,1997-051ST,2025-03-31T17:41:51.721152,14.69598286,.0017566,86.3250,91.2943,60.6054,299.6912,0,U,35809,999,83040,.28449E-2,.16987E-3,0
IRIDIUM 33 DEB,1997-051SW,2025-03-29T15:33:06.888096,14.41948802,.0015804,86.3824,168.8141,311.4903,48.4940,0,U,35846,999,82014,.10731E-2,.3539E-4,0
IRIDIUM 33 DEB,1997-051SY,2025-03-31T20:23:42.002880,14.72075953,.0010799,86.3902,130.5498,43.6347,316.5722,0,U,35848,999,82501,.22665E-2,.14298E-3,0
IRIDIUM 33 DEB,1997-051TA,2025-03-31T18:34:30.092160,14.72278434,.0013153,86.3458,100.0211,30.9302,329.2686,0,U,35850,999,67583,.27216E-2,.17259E-3,0
IRIDIUM 33 DEB,1997-051TU,2025-04-02T07:02:17.424672,14.86096501,.0037903,86.2070,100.7075,194.6717,165.3411,0,U,35911,999,83273,.86202E-2,.77233E-3,0
IRIDIUM 33 DEB,1997-051TY,2025-03-22T19:11:28.610880,14.72922398,.0016925,86.3431,103.2150,57.5554,302.7297,0,U,35915,999,4176,.56487E-2,.36463E-3,0
IRIDIUM 33 DEB,1997-051UB,2025-04-02T00:25:36.279264,14.48774689,.0024192,86.4091,184.8115,303.6201,180.2009,0,U,35918,999,81516,.16606E-2,.6309E-4,0
IRIDIUM 33 DEB,1997-051UN,2025-04-01T05:59:52.840032,14.88023650,.0016292,86.3322,72.0972,209.0824,150.9496,0,U,35929,999,84032,.35884E-2,.33165E-3,0
IRIDIUM 33 DEB,1997-051US,2025-03-31T21:11:36.153312,14.40331268,.0017924,86.3427,145.2277,353.2983,131.7543,0,U,36011,999,60856,.73226E-3,.2344E-4,0
IRIDIUM 33 DEB,1997-051UT,2025-04-02T03:15:48.134592,14.12263273,.0237169,86.4445,49.4365,348.7238,10.8681,0,U,36012,999,61884,.50121E-2,.12055E-3,0
IRIDIUM 33 DEB,1997-051VK,2025-04-01T15:30:17.980416,14.84123070,.0017686,86.3240,65.4042,229.1976,130.7714,0,U,36028,999,83328,.31409E-2,.26384E-3,0
IRIDIUM 33 DEB,1997-051VM,2025-03-31T19:17:02.113152,14.45119699,.0015551,86.3275,119.3602,295.9950,63.9650,0,U,36080,999,43716,.81889E-3,.2886E-4,0
IRIDIUM 33 DEB,1997-051VQ,2025-04-01T21:00:34.688736,14.42025034,.0026121,86.3446,143.7728,354.4431,5.6475,0,U,36083,999,81775,.75812E-3,.2516E-4,0
