OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CN,2025-04-02T09:53:10.525632,14.11593410,.0051921,98.8870,146.8376,266.6999,104.9262,0,U,29796,999,93472,.10147E-2,.1822E-4,0
FENGYUN 1C DEB,1999-025CQ,2025-04-02T03:13:38.933760,13.98417452,.0113687,99.3078,152.1633,248.1319,140.2446,0,U,29798,999,92365,.17246E-2,.256E-4,0
FENGYUN 1C DEB,1999-025CS,2025-04-02T08:38:20.665824,13.96906039,.0135774,98.3016,138.2448,221.4170,152.9499,0,U,29800,999,92023,.27505E-2,.4102E-4,0
FENGYUN 1C DEB,1999-025CT,2025-04-02T15:17:30.712128,14.35571735,.010344,98.8171,348.3674,296.7669,123.1080,0,U,29801,999,95295,.32245E-3,.938E-5,0
FENGYUN 1C DEB,1999-025CU,2025-04-02T13:01:43.353696,14.54722699,.0041467,98.6110,192.5480,43.5225,328.6007,0,U,29802,999,94769,.47448E-2,.20555E-3,0
FENGYUN 1C DEB,1999-025CW,2025-04-02T14:30:09.302112,14.04240959,.0097006,98.8131,108.4089,293.2718,196.4423,0,U,29804,999,93327,.39763E-4,.22E-6,0
FENGYUN 1C DEB,1999-025CX,2025-04-02T08:58:44.095008,13.72559210,.0189052,99.4865,146.4272,171.3076,189.1422,0,U,29805,999,91213,.27052E-3,.238E-5,0
FENGYUN 1C DEB,1999-025CY,2025-04-02T06:52:26.110848,14.11447747,.0027083,98.7282,115.1478,253.9357,117.6149,0,U,29806,999,93549,.77688E-3,.1369E-4,0
FENGYUN 1C DEB,1999-025CZ,2025-04-02T13:09:22.356288,14.08398729,.0079529,98.7582,104.5157,329.7660,29.8933,0,U,29807,999,93516,.46487E-3,.776E-5,0
FENGYUN 1C DEB,1999-025DA,2025-04-02T14:41:42.384768,14.74179101,.0013023,99.0384,335.6736,194.4475,221.5580,0,U,29808,999,94445,.94877E-2,.63221E-3,0
FENGYUN 1C DEB,1999-025DB,2025-04-02T15:04:24.607776,14.45877276,.0118284,98.8280,45.2602,31.1705,141.7016,0,U,29809,999,95794,.80055E-3,.305E-4,0
FENGYUN 1C DEB,1999-025DC,2025-04-02T14:51:03.387744,14.28689635,.0067667,99.2310,114.9605,30.6582,89.3170,0,U,29810,999,94748,.62965E-3,.1574E-4,0
FENGYUN 1C DEB,1999-025DE,2025-03-29T13:52:26.006592,14.00955932,.0145432,98.3762,298.8412,336.4869,84.3542,0,U,29812,999,92556,.17716E-2,.2867E-4,0
FENGYUN 1C DEB,1999-025DF,2025-04-02T14:34:04.267776,14.09362902,.0011776,98.7479,119.9880,220.1029,265.7706,0,U,29813,999,93680,.17655E-3,.265E-5,0
FENGYUN 1C DEB,1999-025DH,2025-04-02T11:25:04.883808,14.61164830,.0189296,98.0635,106.9382,214.5559,144.3221,0,U,29815,999,96139,.79335E-3,.4985E-4,0
FENGYUN 1C DEB,1999-025DJ,2025-04-02T13:02:26.128608,14.41261768,.0246874,99.0232,297.9261,211.1953,204.8172,0,U,29816,999,94522,.24657E-2,.11425E-3,0
FENGYUN 1C DEB,1999-025DK,2025-04-02T13:44:29.324832,14.13852940,.001247,98.5447,92.7242,24.5882,96.4592,0,U,29817,999,93803,.55872E-3,.1018E-4,0
FENGYUN 1C DEB,1999-025DL,2025-04-02T13:54:44.632800,14.04293712,.0115535,98.7567,339.3943,19.0623,45.2189,0,U,29818,999,93242,.29713E-3,.459E-5,0
FENGYUN 1C DEB,1999-025DM,2025-04-02T12:00:21.192192,14.01860405,.019201,98.7129,87.0505,58.5070,64.0867,0,U,29819,999,93057,.88189E-3,.1536E-4,0
FENGYUN 1C DEB,1999-025DN,2025-04-02T15:10:56.746272,14.02146192,.0072505,98.8387,107.3464,225.7414,250.4255,0,U,29820,999,92998,.95522E-3,.1451E-4,0
FENGYUN 1C DEB,1999-025DP,2025-04-02T10:31:36.469056,14.09243948,.0383174,98.9011,149.7104,119.7104,257.3135,0,U,29821,999,92927,.18296E-2,.6265E-4,0
FENGYUN 1C DEB,1999-025DV,2025-04-01T22:35:46.235904,14.21233196,.0025388,98.5895,89.8346,341.5515,78.4315,0,U,29827,999,94243,.64964E-3,.1376E-4,0
FENGYUN 1C DEB,1999-025DW,2025-04-02T09:12:04.699008,14.07367866,.0062977,98.7901,144.8211,152.4441,336.5568,0,U,29828,999,93158,.16633E-2,.2805E-4,0
FENGYUN 1C DEB,1999-025EA,2025-04-02T12:01:07.214016,14.55969740,.0194436,98.8045,189.4972,338.3475,20.9580,0,U,29832,999,96555,.20452E-3,.1096E-4,0
FENGYUN 1C DEB,1999-025EB,2025-04-01T18:55:18.053760,14.83765593,.0103798,99.0533,38.2614,348.0031,11.8709,0,U,29833,999,96806,.28511E-2,.25979E-3,0
FENGYUN 1C DEB,1999-025ED,2025-04-02T06:10:17.771232,14.43086499,.0168907,98.9943,205.9283,72.0475,319.6149,0,U,29835,999,95824,.2474E-3,.931E-5,0
FENGYUN 1C DEB,1999-025EE,2025-04-02T06:02:17.200608,14.52553932,.0157219,98.1798,193.9497,268.3515,117.1987,0,U,29836,999,59859,.77209E-3,.366E-4,0
FENGYUN 1C DEB,1999-025EK,2025-04-02T13:38:46.199328,14.45380840,.0204378,98.7927,29.9696,16.0124,157.0801,0,U,29841,999,95650,.11229E-2,.5058E-4,0
FENGYUN 1C DEB,1999-025EL,2025-04-02T12:06:25.217856,14.56677094,.0115008,98.5762,172.0441,227.3860,144.2008,0,U,29842,999,95648,.20946E-2,.10191E-3,0
FENGYUN 1C DEB,1999-025EM,2025-04-02T11:34:24.068064,14.28034911,.0192908,99.0508,281.4671,306.2430,104.4110,0,U,29843,999,94652,.55548E-3,.1629E-4,0
FENGYUN 1C DEB,1999-025EN,2025-04-02T04:22:09.701472,14.30987871,.0170046,98.9579,345.8097,189.3982,170.4006,0,U,29844,999,94699,.68536E-3,.2061E-4,0
